;;;;Utility;Suppressed;Transformation
Dataset;Utility measure;Privacy model;Uniqueness;Value;Value;Value
Ihis;Entropy;p-sample-uniqueness;0.004;0.2218719742280865;3.4055185403651764;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.004;0.08311489955230857;3.205267849961123;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;p-sample-uniqueness;0.005;0.22077665308885377;3.3055607689626507;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.005;0.08215523182081919;3.105310078558597;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;p-sample-uniqueness;0.006;0.21966684748796944;3.205519210660375;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.006;0.08119471765776108;3.0052685202563207;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;p-sample-uniqueness;0.007;0.21860213428114592;3.1055614392578494;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.007;0.08023496588619125;2.905310748853795;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;p-sample-uniqueness;0.008;0.21748571362579172;3.005519880955573;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.008;0.0792743674554593;2.805269190551519;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;p-sample-uniqueness;0.009;0.21641035519886564;2.9055621095530473;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.009;0.07831453132930676;2.7053114191489933;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;p-sample-uniqueness;0.01;0.21533203666578318;2.805520551250771;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;p-sample-uniqueness;0.01;0.07735384831525732;2.605269860846717;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;k-anonymity;0.001;0.252506868862828;6.375428988926723;(0%, 0%, 0%, 0%, 75%, 0%, 0%, 0%, 100%)
Ihis;Loss;k-anonymity;0.001;0.10984515342367927;5.991182266670242;(40%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
Ihis;Entropy;k-anonymity;0.002;0.27069348502123414;4.694077271630426;(0%, 0%, 0%, 0%, 100%, 0%, 0%, 0%, 100%)
Ihis;Loss;k-anonymity;0.002;0.13222771736442523;5.877064509209856;(80%, 0%, 0%, 67%, 75%, 0%, 0%, 0%, 0%)
